Fighter,Elo Rating
Tyrone Roberts,1018.78
Phil Rowe,1018.77
Jamal Pogues,1018.68
Magomed Gadzhiyasulov,1018.68
Jordan Leavitt,1018.63
Andre Roberts,1018.44
Adam Wieczorek,1018.34
Ron Waterman,1018.16
Armen Petrosyan,1018.13
Rafael Natal,1017.94
Tyson Griffin,1017.93
Megan Anderson,1017.65
Robert Peralta,1017.51
Sergey Morozov,1017.45
Soa Palelei,1017.37
Din Thomas,1017.35
Mizuki,1017.18
Josh Samman,1017.06
Marlon Moraes,1017.05
Edmen Shahbazyan,1017.04
Joanne Wood,1016.84
Chris Duncan,1016.78
Augusto Sakai,1016.69
Tom Nolan,1016.69
Tai Tuivasa,1016.62
Scott Holtzman,1016.61
Luis Saldana,1016.39
Cameron Saaiman,1016.38
Tyson Pedro,1016.36
Cody Stamann,1016.32
Rogerio Nogueira,1015.98
Kiichi Kunimoto,1015.88
Aleksei Kunchenko,1015.82
Da Woon Jung,1015.78
Michael Trizano,1015.77
Gavin Tucker,1015.58
Charles Radtke,1015.57
Paddy Holohan,1015.36
Siyar Bahadurzada,1015.16
Takeya Mizugaki,1014.9
Terry Etim,1014.89
Joaquim Silva,1014.89
Ben Nguyen,1014.8
Josiane Nunes,1014.77
Mauricio Rua,1014.62
Royston Wee,1014.6
Cory McKenna,1014.58
JeongYeong Lee,1014.27
Tim Elliott,1014.18
Rich Attonito,1014.14
Bea Malecki,1014.07
Manny Bermudez,1013.41
Matt Wiman,1013.39
Elias Silverio,1013.34
Brad Riddell,1013.33
Angela Hill,1013.25
Paige VanZant,1013.14
Paul Kelly,1012.77
Roy Nelson,1012.63
Michael Page,1012.55
Gabriel Gonzaga,1012.35
Terrance McKinney,1012.32
Mohammed Usman,1012.12
Eryk Anders,1012.1
Tatsuya Kawajiri,1011.93
Brad Blackburn,1011.76
Jake O'Brien,1011.67
Justin Tafa,1011.37
Chris Daukaus,1011.36
Liz Carmouche,1011.1
Brad Katona,1011.01
Julia Avila,1010.91
Viktoriia Dudakova,1010.91
Ronny Markes,1010.78
Abus Magomedov,1010.36
Steven Siler,1009.84
Alex Garcia,1009.72
Ildemar Alcantara,1009.47
Cung Le,1009.43
Mike Perry,1009.32
Sedriques Dumas,1009.19
Keith Hackney,1009.17
Alessandro Costa,1008.78
Falaniko Vitale,1008.52
Andrei Arlovski,1008.43
Diego Nunes,1008.22
Marcio Cruz,1008.17
Ismail Naurdiev,1008.05
Amir Sadollah,1008.02
Jimi Manuwa,1007.91
Nate Marquardt,1007.88
Dennis Hallman,1007.78
Gary Goodridge,1007.44
Marc Diakiese,1007.31
Yazmin Jauregui,1007.21
Yana Santos,1006.94
Bassil Hafez,1006.9
Gan McGee,1006.73
Nikolas Motta,1006.39
Modestas Bukauskas,1006.35
Rich Clementi,1006.1
Kendall Grove,1006.08
Antonio Carvalho,1006.06
Alan Patrick,1005.68
Jutaro Nakao,1005.5
Clint Hester,1005.11
Antoni Hardonk,1005.05
Luana Pinheiro,1005
Stefan Struve,1004.95
Paul Buentello,1004.81
Melquizael Costa,1004.76
Jose Quinonez,1004.71
Dan Christison,1004.63
Jake Hadley,1004.55
Chris Barnett,1004.52
Jason Saggo,1004.49
Michael Johnson,1004.4
Mike Wilkinson,1004.33
Chance Rencountre,1004.33
Brandon Vera,1004.32
Morgan Charriere,1004.28
Viacheslav Borshchev,1004.27
TJ Waldburger,1004.08
Jimmy Crute,1003.93
Josh Thomson,1003.86
Tony Kelley,1003.78
Chris Cariaso,1003.6
Rony Jason,1003.58
Erik Koch,1003.5
Lavar Johnson,1003.5
Joe Charles,1003.47
Irina Alekseeva,1003.45
Cesar Almeida,1003.45
Jarjis Danho,1003.35
Chelsea Chandler,1003.26
Thomas Petersen,1003.08
Dave Beneteau,1003.05
Ryan Janes,1002.97
Brian Melancon,1002.96
Geza Kalman,1002.94
Bruna Brasil,1002.81
Dwayne Cason,1002.74
Buddy Roberts,1002.7
Michal Oleksiejczuk,1002.7
Bill Algeo,1002.69
Adam Fugitt,1002.64
Amaury Bitetti,1002.57
Tomasz Drwal,1002.55
Guram Kutateladze,1002.47
Clay Guida,1002.44
Dione Barbosa,1002.35
Sultan Aliev,1002.28
Kaue Fernandes,1002.27
Shinsho Anzai,1002.09
Robelis Despaigne,1002.08
Zak Ottow,1002.07
Mike van Arsdale,1002.06
Ben Askren,1002.03
Troy Mandaloniz,1001.76
Abdul Razak Alhassan,1001.73
Molly McCann,1001.69
Brianna Fortino,1001.59
Nick Ring,1001.54
Tai Bowden,1001.52
Lance Gibson,1001.42
Trevin Giles,1001.4
Billy Ray Goff,1001.38
Tanner Boser,1001.35
Joe Moreira,1001.32
Nick Sanzo,1001.24
John Lewis,1001.24
Junie Browning,1001.07
Jesus Pinedo,1001.05
Cheyanne Vlismas,1001.05
Jose Torres,1001.04
Lucas Almeida,1001.02
Dan Cramer,1001.01
Eddie Yagin,1000.93
Lance Benoist,1000.92
Nicco Montano,1000.85
Galore Bofando,1000.73
Semmy Schilt,1000.62
Joe Stevenson,1000.56
Eduarda Moura,1000.52
Guangyou Ning,1000.49
Alexander Hernandez,1000.48
Wesley Correira,1000.42
Valter Walker,1000.37
Travis Fulton,1000.3
Ricardo Abreu,1000.29
Waylon Lowe,1000.24
Tedd Williams,1000.23
James Wilks,1000.23
Patrick Walsh,1000.17
Jack Nilson,1000.1
Brad Kohler,1000.1
Sai Wang,1000.07
Mitch Gagnon,1000.05
Charles Jourdain,1000.05
Antonina Shevchenko,1000.04
Orlando Wiet,1000
