Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Gold 2,Split,Phoenix,sp1cyn00dz,2023,Qtr 2,May,1,6,446,3,3,3,13,24,11,1.18181818181818,0,9,1,1.0714285714285714,1,15,79,7.8431372549019605,3,0,1,2,3,6,7,2,1,2123,-55.25,88.45833333333333,3449,45,4,14,2,38,victory
Gold 3,Ascent,Killjoy,crocodiledundii,2023,Qtr 3,August,22,6,970,2,6,26,14,26,12,1.16666666666667,2,2,1,1.9375,3,31,92,26.605504587155966,26,1,32,1,3,14,12,11,0,6507,118.26923076923077,250.26923076923077,3432,79,29,16,1,103,victory
Gold 3,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,May,22,6,753,4,4,15,13,23,10,1.3,0,5,1,1.1176470588235294,1,19,83,21.12676056338028,15,1,2,4,1,13,11,11,1,4242,2.782608695652174,184.43478260869566,4178,51,15,17,2,77,victory
Gold 3,Bind,Phoenix,sp1cyn00dz,2024,Qtr 2,May,6,6,800,0,7,11,13,22,9,1.44444444444444,0,2,1,1.5384615384615385,1,20,82,20,11,1,1,6,0,14,2,3,0,3360,25.5,152.72727272727272,2799,45,12,13,0,78,victory
Gold 3,Fracture,Phoenix,sp1cyn00dz,2022,Qtr 4,October,23,6,728,3,6,10,13,24,11,1.18181818181818,0,5,1,0.9411764705882353,1,16,83,17.5,10,2,3,6,2,11,4,7,0,3921,5.083333333333333,163.375,3799,52,14,17,0,67,victory
Gold 3,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,June,19,6,463,4,3,9,10,23,13,0.769230769230769,1,7,0,1.0625,5,17,74,17.543859649122805,9,2,2,2,3,8,5,4,0,2603,-36.91304347826087,113.17391304347827,3452,40,10,16,2,51,defeat
Gold 3,Pearl,Sova,sp1cyn00dz,2022,Qtr 4,October,24,6,1275,2,10,25,26,43,17,3.3484848484848504,0,12,2,2.6564102564102567,3,38,146,52.65765765765766,25,0,16,4,2,5,31,9,2,6502,25.054824561403507,296.56359649122805,5847,65,26,28,0,118,victory
Gold 3,Split,Phoenix,sp1cyn00dz,2023,Qtr 1,March,19,6,653,1,5,18,9,22,13,0.692307692307692,0,1,0,1.3157894736842106,5,25,68,25.609756097560975,18,0,5,3,2,9,5,1,0,4481,18.59090909090909,203.6818181818182,4072,56,21,19,0,81,defeat
Gold 3,Split,Phoenix,sp1cyn00dz,2024,Qtr 2,May,20,6,434,3,6,7,12,26,14,0.857142857142857,1,7,0,0.8888888888888888,2,16,69,9.722222222222223,7,0,2,1,2,13,4,7,0,3435,-22.53846153846154,132.1153846153846,4021,60,7,18,1,57,defeat
Gold 3,Split,Sova,sp1cyn00dz,2023,Qtr 1,March,9,6,1450,4,6,16,26,43,17,3.15714285714286,3,11,2,2.9365079365079367,8,35,158,27.309344790547797,16,2,13,3,2,16,38,6,3,6121,70.58043478260869,280.5239130434783,4532,97,18,23,1,118,victory
Gold 3,Sunset,Gekko,justsimple,2024,Qtr 3,September,5,6,285,4,8,5,15,28,13,1.15384615384615,7,9,1,0.5454545454545454,6,12,64,10.526315789473683,5,2,12,2,5,15,32,5,0,2622,-56.892857142857146,93.64285714285714,4215,40,6,22,0,34,victory
Gold 3,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 1,February,8,6,488,4,1,8,9,22,13,0.692307692307692,0,5,0,0.8947368421052632,1,17,77,13.114754098360656,8,1,0,0,3,11,2,5,2,2971,-48.31818181818182,135.04545454545453,4034,49,8,19,2,55,defeat
Iron 3,Bind,Viper,a1ex,2022,Qtr 3,August,31,6,940,4,14,13,22,48,26,1.692307692307692,7,12,0,1.85,7,37,133,18.547169811320757,13,2,6,4,5,0,36,10,1,6051,-46.75,252.125,7173,128,15,40,1,103,defeat
Iron 3,Fracture,Jett,a1ex,2022,Qtr 3,September,15,6,1374,2,8,10,26,38,12,4.45714285714286,9,7,2,2.8632478632478633,4,31,159,15.158371040723983,10,4,22,7,5,17,24,8,3,5275,34.47222222222222,282.69444444444446,4675,81,10,22,0,156,victory
Platinum 1,Ascent,Phoenix,crocodiledundii,2023,Qtr 3,September,11,6,760,11,9,17,18,34,16,1.125,1,2,1,1.1785714285714286,1,33,82,16.822429906542055,17,1,18,9,4,60,35,13,0,6287,-9.852941176470589,184.91176470588235,6622,85,18,28,1,55,victory
Platinum 1,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,May,30,6,738,3,4,12,13,22,9,1.44444444444444,1,3,1,1.1176470588235294,1,19,73,20,12,0,0,1,3,7,5,7,0,4068,14.727272727272727,184.9090909090909,3744,51,14,17,0,83,victory
Platinum 1,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,June,7,6,450,4,5,12,12,26,14,0.857142857142857,0,7,0,1,1,19,73,24.074074074074073,12,1,1,0,2,9,4,7,0,3372,-39.11538461538461,129.69230769230768,4389,37,13,19,0,48,defeat
Platinum 1,Bind,Phoenix,sp1cyn00dz,2024,Qtr 2,May,9,6,443,1,3,11,11,24,13,0.846153846153846,0,5,0,1,2,18,67,23.52941176470588,11,0,2,3,5,13,4,3,0,3219,-29.75,134.125,3933,38,12,18,0,56,defeat
Platinum 1,Fracture,Breach,silver,2023,Qtr 1,January,27,6,547,10,17,7,24,46,22,1.09090909090909,10,8,1,0.9393939393939394,9,31,72,8.088235294117647,7,2,22,1,2,38,60,14,2,5931,-8.869565217391305,128.93478260869566,6339,100,11,33,0,33,victory
Platinum 1,Haven,Sova,sp1cyn00dz,2024,Qtr 2,June,19,6,275,5,8,9,17,32,15,1.13333333333333,0,9,1,0.7083333333333334,5,17,59,19.565217391304348,9,0,10,3,2,15,38,7,1,2999,-50.21875,93.71875,4606,34,9,24,2,30,victory
Platinum 1,Lotus,Phoenix,sp1cyn00dz,2024,Qtr 1,February,21,6,386,8,5,8,14,26,12,1.16666666666667,0,8,1,0.8181818181818182,2,18,69,13.559322033898304,8,0,2,1,5,8,5,5,0,3280,-64.53846153846153,126.15384615384616,4958,50,8,22,1,44,victory
Platinum 2,Ascent,Killjoy,silver,2023,Qtr 3,September,11,6,754,4,9,20,18,34,16,1.125,6,4,1,1.391304347826087,5,32,79,15.436241610738255,20,1,52,2,1,26,18,6,1,5456,23.264705882352942,160.47058823529412,4665,109,23,23,1,49,victory
Platinum 2,Bind,Gekko,shift,2023,Qtr 3,July,9,6,604,3,3,12,9,22,13,0.692307692307692,5,4,0,1.125,3,18,73,22.641509433962266,12,0,11,4,1,10,22,7,0,3191,15.181818181818182,145.04545454545453,2857,39,12,16,1,59,defeat
Platinum 2,Fracture,Brimstone,shift,2023,Qtr 3,August,11,6,853,5,5,17,14,26,12,1.16666666666667,4,1,1,1.5555555555555556,4,28,77,23.333333333333332,17,1,13,2,1,9,54,6,1,5306,77.34615384615384,204.07692307692307,3295,62,21,18,0,80,victory
Platinum 2,Lotus,Iso,justsimple,2024,Qtr 2,June,14,6,1874,7,4,26,26,32,6,8.66666666666666,0,2,2,4.3173076923076925,0,43,163,41.02345415778251,26,5,23,7,3,52,30,7,0,7896,217.125,493.5,4422,96,28,21,0,181,victory
Platinum 2,Pearl,Gekko,shift,2023,Qtr 3,July,7,6,787,2,5,19,13,24,11,1.18181818181818,7,2,1,1.4375,3,23,75,33.87096774193548,19,2,12,2,2,10,20,5,4,4577,55.416666666666664,190.70833333333334,3247,37,21,16,2,77,victory
Platinum 2,Sunset,Deadlock,crocodiledundii,2024,Qtr 3,September,5,6,812,6,8,26,15,28,13,1.15384615384615,3,1,1,1.6842105263157894,1,32,71,31.03448275862069,26,2,17,3,3,24,23,7,2,5974,91.14285714285714,213.35714285714286,3422,54,27,19,1,82,victory
Platinum 3,Bind,Brimstone,shift,2022,Qtr 4,November,20,6,954,2,8,12,26,46,20,2.6,6,16,2,2.05,6,27,139,34.67849223946785,12,3,7,3,1,16,69,6,2,4781,-11.826086956521737,207.8695652173913,5053,71,16,27,0,104,victory
Platinum 3,Bind,Raze,shift,2023,Qtr 3,August,21,6,788,2,3,15,11,24,13,0.846153846153846,0,2,0,1.5625,3,25,75,21.73913043478261,15,1,18,3,2,19,26,2,0,4762,67.70833333333333,198.41666666666666,3137,51,15,16,2,80,defeat
Platinum 3,Bind,Raze,shift,2024,Qtr 1,March,26,6,957,3,4,12,13,23,10,1.3,0,1,1,2,3,28,87,15.909090909090908,12,4,17,3,0,18,25,5,0,4825,68.91304347826087,209.7826086956522,3240,73,14,14,1,76,victory
Platinum 3,Fracture,Brimstone,pphead,2022,Qtr 3,July,25,6,829,2,5,15,13,24,11,1.18181818181818,10,2,1,1.5333333333333334,2,23,83,30.76923076923077,15,0,14,4,2,12,63,10,0,3894,38.958333333333336,162.25,2959,34,16,15,0,68,victory
Platinum 3,Haven,Brimstone,shift,2023,Qtr 3,September,21,6,1684,4,7,12,26,36,10,6.190476190476191,10,6,2,4.1,3,31,168,36.89542483660131,12,3,21,2,1,10,70,19,0,5262,100.65,289.5875,3509,85,21,17,0,143,victory
Platinum 3,Icebox,Deadlock,shift,2024,Qtr 3,August,26,6,663,4,7,12,14,26,12,1.16666666666667,6,4,1,1.4666666666666666,3,22,69,21.91780821917808,12,0,16,1,1,33,19,6,1,4080,39.61538461538461,156.92307692307693,3050,51,16,15,2,55,victory
Platinum 3,Icebox,Raze,shift,2023,Qtr 1,March,3,6,1813,6,6,23,26,39,13,4.225,0,4,2,4.545454545454545,1,46,169,40.48192771084337,23,2,27,4,3,26,35,7,0,7523,166.33333333333331,378.23015873015873,4162,92,25,20,1,190,victory
Silver 1,Bind,Yoru,pphead,2021,Qtr 3,August,28,6,468,5,11,11,19,47,28,1.328205128205129,0,20,0,0.7181372549019608,5,16,116,37.845849802371546,11,1,26,2,16,29,39,12,0,3979,-139.2763157894737,162.1203007518797,7163,53,13,41,0,63,defeat
Silver 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,June,30,6,486,1,2,11,13,22,9,1.44444444444444,1,8,1,1.2307692307692308,0,16,64,23.404255319148938,11,1,4,2,0,8,5,0,1,3010,-5.2727272727272725,136.8181818181818,3126,35,11,13,2,68,victory
