Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Platinum 3,Ascent,Brimstone,shift,2023,Qtr 1,March,1,3,354,4,4,7,9,22,13,0.692307692307692,1,7,0,0.5882352941176471,1,10,64,15.217391304347828,7,2,8,4,1,6,34,12,0,2672,-23.40909090909091,121.45454545454545,3187,31,7,17,1,45,defeat
Platinum 3,Ascent,Brimstone,silver,2023,Qtr 2,April,26,3,815,2,3,6,13,23,10,1.3,2,3,1,1.6923076923076923,2,22,83,9.210526315789473,6,2,7,2,1,11,45,9,1,3260,30.217391304347824,141.7391304347826,2565,59,7,13,0,55,victory
Platinum 3,Ascent,Chamber,shift,2022,Qtr 4,October,5,3,628,4,3,10,13,24,11,1.18181818181818,3,4,1,1.0555555555555556,3,19,71,19.672131147540984,10,0,16,2,7,12,14,7,0,3710,3.25,154.58333333333334,3632,44,12,18,0,53,victory
Platinum 3,Ascent,Chamber,shift,2022,Qtr 4,October,7,3,317,2,3,8,9,22,13,0.692307692307692,1,7,0,0.8235294117647058,3,14,45,34.375,8,0,17,2,2,7,11,2,1,2623,-10.318181818181818,119.22727272727273,2850,19,11,17,0,46,defeat
Platinum 3,Ascent,Killjoy,justsimple,2023,Qtr 1,March,2,3,599,4,2,5,5,18,13,0.384615384615385,3,5,0,1.0714285714285714,3,15,78,10.869565217391305,5,1,18,1,0,6,8,2,1,2396,3.5555555555555554,133.11111111111111,2332,75,10,14,0,59,defeat
Platinum 3,Ascent,Killjoy,justsimple,2023,Qtr 2,April,21,3,394,1,2,5,7,20,13,0.538461538461538,1,6,0,0.7058823529411765,2,12,70,11.25,5,0,16,2,3,11,9,7,0,2558,-24.95,127.9,3057,66,9,17,0,51,defeat
Platinum 3,Ascent,Killjoy,justsimple,2024,Qtr 1,January,8,3,378,0,7,6,9,22,13,0.692307692307692,4,7,0,0.9375,3,15,64,11.666666666666666,6,1,25,1,1,15,8,2,1,2392,-13.954545454545455,108.72727272727273,2699,44,7,16,0,50,defeat
Platinum 3,Ascent,Killjoy,silver,2023,Qtr 2,May,11,3,878,2,3,12,13,23,10,1.3,5,3,1,2,6,22,87,9.923664122137405,12,0,26,1,0,17,7,2,1,3895,51.95652173913044,169.34782608695653,2700,101,13,11,1,82,victory
Platinum 3,Ascent,Killjoy,silver,2023,Qtr 4,December,2,3,494,3,2,4,13,23,10,1.3,3,7,1,1,4,16,74,6.329113924050633,4,0,38,1,1,17,9,4,0,2505,-38.869565217391305,108.91304347826087,3399,61,5,16,0,40,victory
Platinum 3,Ascent,Killjoy,silver,2024,Qtr 2,June,7,3,567,2,5,8,12,26,14,0.857142857142857,2,4,0,1.125,5,18,69,13.084112149532709,8,1,26,1,1,20,16,9,1,3618,14.346153846153847,139.15384615384616,3245,86,14,16,1,49,defeat
Platinum 3,Ascent,Omen,silver,2024,Qtr 3,August,25,3,757,4,6,7,13,20,7,1.85714285714286,1,4,1,1.4545454545454546,1,16,90,12.5,7,3,3,1,0,12,53,14,0,2368,5.7,118.4,2254,43,7,11,0,45,victory
Platinum 3,Ascent,Omen,sp1cyn00dz,2024,Qtr 1,January,8,3,204,6,7,6,9,22,13,0.692307692307692,1,10,0,0.3,3,6,64,14.634146341463413,6,1,4,1,1,6,38,8,0,1959,-63.54545454545455,89.04545454545455,3357,28,6,20,0,35,defeat
Platinum 3,Ascent,Skye,justsimple,2022,Qtr 4,December,19,3,346,8,4,5,13,24,11,1.18181818181818,2,9,1,0.5238095238095238,2,11,71,11.363636363636363,5,1,0,2,4,16,27,7,0,2006,-67.54166666666667,83.58333333333333,3627,35,5,21,0,27,victory
Platinum 3,Ascent,Skye,justsimple,2023,Qtr 2,April,24,3,438,4,5,6,13,18,5,2.6,0,7,1,0.8666666666666667,1,13,56,10.909090909090908,6,0,2,2,3,8,25,7,0,2363,-25.055555555555557,131.27777777777777,2814,40,6,15,0,47,victory
Platinum 3,Ascent,Sova,pphead,2021,Qtr 4,November,21,3,728,1,4,13,13,24,11,1.18181818181818,8,2,1,1.8333333333333333,2,22,71,29.310344827586203,13,1,15,2,2,22,35,4,2,4036,55.833333333333336,168.16666666666666,2696,39,17,12,0,74,victory
Platinum 3,Bind,Brimstone,pphead,2022,Qtr 3,July,25,3,745,3,1,7,13,20,7,1.85714285714286,7,7,1,1,2,11,90,33.33333333333333,7,2,12,1,0,9,53,10,1,2521,20.6,126.05,2109,22,11,11,1,54,victory
Platinum 3,Bind,Brimstone,pphead,2024,Qtr 3,July,12,3,777,5,5,13,13,22,9,1.44444444444444,5,4,1,1.2857142857142858,0,18,95,37.83783783783784,13,1,13,1,0,11,49,18,0,2984,-5,135.63636363636363,3094,20,14,14,0,56,victory
Platinum 3,Bind,Brimstone,silver,2023,Qtr 4,November,6,3,801,4,3,7,11,24,13,0.846153846153846,3,3,0,1.2941176470588236,7,22,88,12.5,7,1,11,0,0,12,46,5,0,3842,25.708333333333332,160.08333333333334,3225,53,9,17,0,67,defeat
Platinum 3,Bind,Chamber,shift,2022,Qtr 4,October,11,3,729,2,6,7,13,19,6,2.16666666666667,4,4,1,1.25,0,15,74,12.5,7,2,17,2,1,4,9,3,0,2887,32.1578947368421,151.94736842105263,2276,36,7,12,1,57,victory
Platinum 3,Bind,Cypher,silver,2023,Qtr 4,December,2,3,939,3,4,7,13,17,4,3.25,2,2,1,1.4166666666666667,2,17,88,8.333333333333332,7,0,27,4,0,23,15,8,0,3091,56.76470588235294,181.8235294117647,2126,60,7,12,0,71,victory
Platinum 3,Bind,Cypher,silver,2024,Qtr 2,June,3,3,731,2,3,8,13,15,2,6.5,1,6,1,2,1,14,80,25,8,0,27,0,0,18,13,2,1,1945,25.333333333333332,129.66666666666666,1565,26,9,7,3,57,victory
Platinum 3,Bind,Killjoy,pphead,2022,Qtr 1,March,14,3,718,2,6,11,13,24,11,1.18181818181818,1,5,1,1.2307692307692308,2,16,88,20,11,2,32,1,1,18,7,6,1,3091,22.458333333333332,128.79166666666666,2552,56,15,13,1,51,victory
Platinum 3,Bind,Killjoy,pphead,2024,Qtr 3,August,23,3,922,3,5,14,13,23,10,1.3,0,2,1,1.7857142857142858,6,25,83,16.19047619047619,14,1,34,2,2,20,7,2,1,4860,100.26086956521739,211.30434782608697,2554,82,17,14,0,81,victory
Platinum 3,Bind,Raze,pphead,2021,Qtr 4,November,21,3,632,1,7,12,9,22,13,0.692307692307692,2,2,0,1,1,16,73,20,12,3,21,5,2,24,22,6,0,3481,25.272727272727273,158.22727272727272,2925,59,15,16,1,60,defeat
Platinum 3,Bind,Raze,pphead,2022,Qtr 2,May,20,3,279,1,3,7,4,17,13,0.307692307692308,2,6,0,0.7857142857142857,0,11,53,24.324324324324326,7,0,16,1,5,10,17,1,0,2321,-18.41176470588235,136.52941176470588,2634,24,9,14,0,55,defeat
Platinum 3,Bind,Raze,shift,2024,Qtr 3,September,1,3,600,4,3,12,11,24,13,0.846153846153846,1,2,0,1.1875,1,19,62,21.875,12,1,9,3,2,14,19,3,0,3976,53.458333333333336,165.66666666666666,2693,43,14,16,0,81,defeat
Platinum 3,Bind,Raze,shift,2024,Qtr 3,September,3,3,990,4,1,15,13,18,5,2.6,0,1,1,3.2857142857142856,1,23,94,26.666666666666668,15,1,10,2,3,14,17,2,2,3825,144.38888888888889,212.5,1226,42,16,7,1,127,victory
Platinum 3,Bind,Reyna,justsimple,2024,Qtr 1,January,7,3,486,1,4,8,13,21,8,1.625,0,8,1,0.9166666666666666,2,11,71,24.324324324324326,8,0,28,3,1,1,4,8,0,2206,-13.714285714285714,105.04761904761905,2494,23,9,12,0,45,victory
Platinum 3,Bind,Viper,silver,2022,Qtr 4,November,10,3,364,2,6,4,11,24,13,0.846153846153846,4,10,0,0.6875,3,11,71,8,4,0,14,0,1,16,21,6,0,2120,-25.625,88.33333333333333,2735,38,4,16,0,40,defeat
Platinum 3,Bind,Viper,silver,2023,Qtr 2,April,30,3,463,3,6,7,13,28,15,0.866666666666667,3,6,0,0.9444444444444444,3,17,64,13.333333333333334,7,3,27,2,3,21,19,14,0,3433,-5.571428571428571,122.60714285714286,3589,51,10,18,0,48,defeat
Platinum 3,Bind,Viper,silver,2023,Qtr 3,August,21,3,415,2,3,7,11,24,13,0.846153846153846,6,6,0,0.875,4,14,67,13.23529411764706,7,1,22,1,1,17,23,6,0,3030,-12.541666666666666,126.25,3331,44,9,16,0,51,defeat
Platinum 3,Bind,Viper,silver,2024,Qtr 3,September,1,3,368,3,3,9,11,24,13,0.846153846153846,2,8,0,0.9375,1,15,62,26.31578947368421,9,1,9,2,2,17,24,5,0,2598,-27.541666666666668,108.25,3259,23,10,16,1,46,defeat
Platinum 3,Breeze,Chamber,shift,2022,Qtr 4,October,5,3,949,2,2,18,13,18,5,2.6,3,2,1,3.142857142857143,2,22,83,39.21568627450981,18,2,12,3,0,10,6,3,1,4208,125.77777777777777,233.77777777777777,1944,26,20,7,1,107,victory
Platinum 3,Breeze,Chamber,shift,2022,Qtr 4,October,7,3,563,1,4,7,7,20,13,0.538461538461538,1,2,0,1.2666666666666666,4,19,70,18.367346938775512,7,0,10,5,1,2,4,4,1,3074,6.15,153.7,2951,32,9,15,1,64,defeat
Platinum 3,Breeze,Jett,pphead,2022,Qtr 1,March,4,3,555,5,2,7,13,23,10,1.3,0,4,1,0.8888888888888888,1,16,70,16.666666666666664,7,3,9,3,1,5,9,5,0,3369,-18.17391304347826,146.47826086956522,3787,40,9,18,1,62,victory
Platinum 3,Breeze,Jett,pphead,2022,Qtr 2,April,5,3,323,5,4,3,9,22,13,0.692307692307692,1,8,0,0.6842105263157895,2,13,59,8.771929824561402,3,0,15,2,4,1,8,6,0,2633,-33.68181818181818,119.68181818181819,3374,45,5,19,0,51,defeat
Platinum 3,Breeze,KAY/O,shift,2024,Qtr 1,January,22,3,269,6,5,5,7,20,13,0.538461538461538,1,7,0,0.5294117647058824,4,9,70,14.634146341463413,5,1,8,1,2,19,21,8,0,2060,-67.2,103,3404,33,6,17,0,38,defeat
Platinum 3,Breeze,Phoenix,crocodiledundii,2024,Qtr 1,January,4,3,672,2,7,5,13,20,7,1.85714285714286,1,5,1,1.1428571428571428,0,16,70,7.142857142857142,5,0,1,1,4,9,3,5,1,3217,14.7,160.85,2923,62,5,14,0,82,victory
Platinum 3,Breeze,Raze,shift,2022,Qtr 4,November,20,3,950,5,4,9,13,16,3,4.33333333333333,4,2,1,1.3333333333333333,2,16,94,18.867924528301888,9,1,9,1,2,6,14,5,0,3359,48.8125,209.9375,2578,41,10,12,0,67,victory
Platinum 3,Breeze,Sova,crocodiledundii,2024,Qtr 2,May,30,3,827,2,0,9,13,18,5,2.6,6,5,1,1.875,0,15,89,27.027027027027028,9,1,13,2,1,16,25,4,1,2953,41.05555555555556,164.05555555555554,2214,25,10,8,2,72,victory
Platinum 3,Breeze,Viper,silver,2023,Qtr 3,September,19,3,611,3,4,4,13,20,7,1.85714285714286,4,5,1,1.3333333333333333,4,16,70,6.451612903225806,4,1,13,4,0,14,20,6,2,2558,4.7,127.9,2464,50,4,12,1,60,victory
Platinum 3,Fracture,Breach,justsimple,2023,Qtr 2,May,1,3,268,4,3,6,10,23,13,0.769230769230769,0,9,0,0.6842105263157895,0,13,48,10.344827586206897,6,1,8,2,4,21,27,6,0,2523,-33.78260869565217,109.69565217391305,3300,46,6,19,1,40,defeat
Platinum 3,Fracture,Breach,pphead,2022,Qtr 2,May,20,3,439,3,5,5,13,24,11,1.18181818181818,4,7,1,0.7058823529411765,2,12,71,13.333333333333334,5,0,17,1,4,34,33,5,0,2634,-23,109.75,3186,47,8,17,0,45,victory
Platinum 3,Fracture,Breach,silver,2022,Qtr 4,November,28,3,423,1,3,5,4,17,13,0.307692307692308,2,5,0,0.7857142857142857,1,11,71,12.280701754385964,5,0,7,0,2,18,25,3,0,2246,-20.41176470588235,132.11764705882354,2593,40,7,14,0,57,defeat
Platinum 3,Fracture,Breach,silver,2023,Qtr 2,April,6,3,689,2,6,5,11,24,13,0.846153846153846,2,4,0,1.4375,3,23,75,5.813953488372093,5,0,6,5,1,17,23,6,2,3520,31.583333333333332,146.66666666666666,2762,64,5,16,1,62,defeat
Platinum 3,Fracture,Breach,silver,2023,Qtr 3,August,25,3,175,5,4,3,13,28,15,0.866666666666667,2,10,0,0.25,4,5,61,13.043478260869565,3,0,13,0,1,35,30,11,0,951,-98.5,33.964285714285715,3709,16,3,20,0,12,defeat
Platinum 3,Fracture,Brimstone,pphead,2022,Qtr 2,June,15,3,631,5,3,6,13,22,9,1.44444444444444,1,5,1,0.9375,1,15,73,15.384615384615385,6,0,13,2,5,13,47,11,1,2792,-1.2727272727272727,126.9090909090909,2820,32,8,16,0,54,victory
Platinum 3,Fracture,Brimstone,shift,2022,Qtr 4,November,20,3,293,1,2,9,4,17,13,0.307692307692308,0,3,0,0.8571428571428571,4,12,53,21.568627450980394,9,0,2,1,1,4,24,2,0,2445,-22.941176470588236,143.8235294117647,2835,29,11,14,0,54,defeat
Platinum 3,Fracture,Brimstone,shift,2023,Qtr 1,March,3,3,706,2,3,9,13,22,9,1.44444444444444,2,7,1,0.9285714285714286,2,13,82,27.027027027027028,9,3,10,3,3,8,32,13,1,2996,16.954545454545453,136.1818181818182,2623,22,10,14,2,56,victory
Platinum 3,Fracture,Brimstone,shift,2023,Qtr 3,August,25,3,287,5,4,3,13,28,15,0.866666666666667,3,9,0,0.35,1,7,71,11.538461538461538,3,0,17,1,0,8,63,11,0,1404,-65.21428571428571,50.142857142857146,3230,20,3,20,1,17,defeat
Platinum 3,Fracture,Brimstone,silver,2023,Qtr 2,May,1,3,519,1,3,3,10,23,13,0.769230769230769,3,7,0,0.9375,3,15,74,5.88235294117647,3,1,12,1,1,13,45,7,2,2852,3.5652173913043477,124,2770,57,4,16,2,51,defeat
Platinum 3,Fracture,Brimstone,silver,2023,Qtr 3,August,22,3,853,3,4,6,13,17,4,3.25,3,4,1,1.5,1,15,94,9.523809523809524,6,1,6,0,0,9,35,10,0,2596,35.411764705882355,152.7058823529412,1994,46,6,10,1,60,victory
Platinum 3,Fracture,KAY/O,pphead,2022,Qtr 2,June,1,3,365,4,5,5,14,28,14,1,0,10,0.5,0.4090909090909091,2,9,75,8.620689655172415,5,0,17,2,7,34,33,19,1,2520,-58.92857142857143,90,4170,37,5,22,0,32,tied
Platinum 3,Fracture,KAY/O,silver,2022,Qtr 4,November,11,3,556,4,2,7,13,22,9,1.44444444444444,0,8,1,0.6875,0,11,77,14.814814814814813,7,1,11,2,0,28,26,10,0,2444,-16.863636363636363,111.0909090909091,2815,31,8,16,0,44,victory
Platinum 3,Fracture,Killjoy,silver,2023,Qtr 2,May,9,3,708,3,3,5,13,24,11,1.18181818181818,1,3,1,1.5384615384615385,2,20,83,7.6923076923076925,5,2,28,2,1,17,10,5,1,3206,8.625,133.58333333333334,2999,73,7,13,0,51,victory
Platinum 3,Fracture,Raze,shift,2022,Qtr 4,October,5,3,447,4,3,6,7,20,13,0.538461538461538,0,5,0,0.8235294117647058,2,14,75,16.363636363636363,6,1,10,3,1,3,17,3,0,2486,-33.3,124.3,3152,43,9,17,0,47,defeat
Platinum 3,Fracture,Viper,pphead,2021,Qtr 4,November,20,3,584,2,4,8,13,24,11,1.18181818181818,4,8,1,1.0714285714285714,1,15,75,16.363636363636363,8,1,21,2,1,15,23,5,0,2782,12.041666666666666,115.91666666666667,2493,43,9,14,0,54,victory
Platinum 3,Haven,Breach,silver,2024,Qtr 3,September,1,3,375,3,3,8,9,22,13,0.692307692307692,4,10,0,0.5263157894736842,3,10,73,16.3265306122449,8,0,12,0,1,27,30,17,1,2314,-39.63636363636363,105.18181818181819,3186,38,8,19,0,40,defeat
Platinum 3,Haven,Brimstone,justsimple,2023,Qtr 2,April,30,3,934,1,2,9,13,19,6,2.16666666666667,2,2,1,2.5555555555555554,1,23,84,14.285714285714285,9,1,0,4,2,3,39,6,0,3537,62.36842105263158,186.1578947368421,2352,50,9,9,1,88,victory
Platinum 3,Haven,Brimstone,shift,2023,Qtr 1,February,25,3,510,3,2,9,7,20,13,0.538461538461538,2,2,0,1.0625,3,17,65,17.857142857142858,9,0,10,3,2,8,34,5,2,3062,5.3,153.1,2956,43,10,16,0,56,defeat
Platinum 3,Haven,Brimstone,silver,2023,Qtr 3,September,18,3,503,3,5,9,13,28,15,0.866666666666667,3,4,0,1.0526315789473684,6,20,71,14.925373134328357,9,0,6,1,1,12,61,13,0,3473,-19.321428571428573,124.03571428571429,4014,46,10,19,2,45,defeat
Platinum 3,Haven,Chamber,crocodiledundii,2023,Qtr 4,December,19,3,773,1,3,22,13,24,11,1.18181818181818,1,1,1,1.9375,5,31,67,32.5,22,0,21,4,1,3,20,3,0,5465,88.08333333333333,227.70833333333334,3351,50,26,16,0,103,victory
Platinum 3,Haven,Cypher,justsimple,2024,Qtr 1,January,5,3,695,2,1,6,13,20,7,1.85714285714286,3,4,1,1.3333333333333333,3,16,70,11.666666666666666,6,3,29,1,3,21,17,8,1,2854,31.7,142.7,2220,48,7,12,0,58,victory
Platinum 3,Haven,Deadlock,crocodiledundii,2024,Qtr 3,August,2,3,367,3,5,7,13,22,9,1.44444444444444,0,8,1,0.7222222222222222,2,13,64,20,7,2,13,1,5,23,17,7,0,2279,-57.63636363636363,103.5909090909091,3547,30,8,18,1,39,victory
Platinum 3,Haven,Gekko,pphead,2024,Qtr 3,August,25,3,789,1,5,10,13,18,5,2.6,5,5,1,2.142857142857143,3,15,83,26.666666666666668,10,1,10,1,1,13,19,3,0,2530,56.55555555555556,140.55555555555554,1512,31,12,7,4,68,victory
Platinum 3,Haven,Killjoy,silver,2023,Qtr 2,April,19,3,308,3,3,3,11,24,13,0.846153846153846,3,7,0,0.7222222222222222,6,13,58,6.944444444444445,3,1,26,1,1,18,8,3,0,2684,-36.5,111.83333333333333,3560,53,5,18,1,42,defeat
Platinum 3,Haven,Killjoy,silver,2023,Qtr 2,April,24,3,467,2,6,6,10,23,13,0.769230769230769,4,6,0,1.0625,2,17,57,8.080808080808081,6,0,27,2,1,15,9,5,2,3291,9.173913043478262,143.08695652173913,3080,84,8,16,1,60,defeat
Platinum 3,Haven,Killjoy,silver,2023,Qtr 2,May,5,3,659,4,3,11,12,26,14,0.857142857142857,2,6,0,1.2352941176470589,3,21,73,12.941176470588237,11,2,29,2,1,20,9,2,1,4231,28.23076923076923,162.73076923076923,3497,67,11,17,1,64,defeat
Platinum 3,Haven,Killjoy,silver,2023,Qtr 3,August,22,3,208,4,1,5,8,21,13,0.615384615384615,2,10,0,0.47368421052631576,3,9,62,11.538461538461538,5,0,24,0,0,16,8,4,0,1972,-51.714285714285715,93.9047619047619,3058,46,6,19,0,37,defeat
Platinum 3,Haven,Phoenix,pphead,2022,Qtr 3,July,25,3,463,8,4,5,13,21,8,1.625,0,8,1,0.5555555555555556,0,10,76,15.384615384615385,5,0,4,1,4,28,15,4,0,2530,-55.19047619047619,120.47619047619048,3689,40,8,18,0,42,victory
Platinum 3,Haven,Raze,shift,2024,Qtr 3,September,8,3,523,6,4,6,13,23,10,1.3,0,8,1,0.6470588235294118,2,11,78,11.666666666666666,6,1,13,2,2,16,20,9,0,2693,-31.956521739130434,117.08695652173913,3428,49,7,17,0,42,victory
Platinum 3,Haven,Skye,justsimple,2022,Qtr 4,December,29,3,469,4,5,2,13,19,6,2.16666666666667,0,7,1,0.7857142857142857,1,11,74,10.869565217391305,2,1,2,0,2,9,25,10,1,1889,-42.526315789473685,99.42105263157895,2697,33,5,14,1,37,victory
Platinum 3,Haven,Skye,justsimple,2023,Qtr 4,December,29,3,419,2,2,7,5,18,13,0.384615384615385,1,6,0,0.7058823529411765,4,12,78,15.555555555555555,7,0,0,1,0,7,24,4,1,2270,-40.666666666666664,126.11111111111111,3002,36,7,17,0,51,defeat
Platinum 3,Haven,Sova,sp1cyn00dz,2024,Qtr 1,January,7,3,272,2,7,5,13,23,10,1.3,1,9,1,0.5,3,10,57,13.636363636363635,5,0,5,0,1,5,17,5,0,2362,-46.52173913043478,102.69565217391305,3432,36,6,20,0,36,victory
Platinum 3,Icebox,Fade,justsimple,2022,Qtr 4,December,29,3,892,3,4,12,13,19,6,2.16666666666667,0,1,1,1.7272727272727273,1,19,79,27.11864406779661,12,4,24,3,3,2,24,10,0,3675,74.52631578947368,193.42105263157896,2259,37,16,11,1,75,victory
Platinum 3,Icebox,Jett,pphead,2022,Qtr 2,June,1,3,292,4,7,4,13,23,10,1.3,0,10,1,0.45,1,9,61,15.384615384615385,4,1,12,3,5,11,20,5,0,2164,-53.69565217391305,94.08695652173913,3399,30,6,20,0,37,victory
Platinum 3,Icebox,Killjoy,crocodiledundii,2024,Qtr 2,June,1,3,747,2,2,11,13,20,7,1.85714285714286,3,2,1,1.4545454545454546,2,16,70,22.22222222222222,11,3,23,1,3,18,7,2,0,3461,65.7,173.05,2147,48,14,11,0,76,victory
Platinum 3,Icebox,Killjoy,justsimple,2023,Qtr 1,February,13,3,323,4,4,4,9,22,13,0.692307692307692,2,9,0,0.47368421052631576,2,9,68,14.925373134328357,4,3,25,2,4,12,9,5,0,2459,-33.31818181818182,111.77272727272727,3192,51,10,19,1,51,defeat
Platinum 3,Icebox,Killjoy,justsimple,2023,Qtr 1,February,27,3,618,2,6,7,14,26,12,1.16666666666667,3,6,1,1.2,4,18,77,14.666666666666666,7,2,36,2,2,16,15,5,0,3294,15.538461538461538,126.6923076923077,2890,59,11,15,0,55,victory
Platinum 3,Icebox,Killjoy,pphead,2024,Qtr 3,August,24,3,724,4,8,19,14,26,12,1.16666666666667,1,1,1,1.6,5,24,69,25.882352941176475,19,1,24,2,1,20,11,5,2,4634,61.5,178.23076923076923,3035,56,22,15,0,67,victory
Platinum 3,Icebox,Raze,shift,2023,Qtr 1,February,28,3,711,4,2,8,9,22,13,0.692307692307692,0,3,0,1,3,18,82,16.25,8,0,11,2,3,12,18,10,0,3582,15.272727272727273,162.8181818181818,3246,60,13,18,0,58,defeat
Platinum 3,Icebox,Reyna,pphead,2023,Qtr 1,January,16,3,835,7,3,23,14,26,12,1.16666666666667,2,1,1,1.4,1,28,77,39.34426229508197,23,2,20,5,4,21,13,8,0,5071,52,195.03846153846155,3719,35,24,20,0,73,victory
Platinum 3,Icebox,Skye,justsimple,2022,Qtr 4,December,19,3,643,3,4,12,13,21,8,1.625,1,5,1,1,2,17,76,28.26086956521739,12,2,1,2,0,15,25,6,0,3067,-6.666666666666667,146.04761904761904,3207,28,13,17,0,52,victory
Platinum 3,Icebox,Viper,pphead,2021,Qtr 4,November,20,3,376,5,4,4,13,24,11,1.18181818181818,9,10,1,0.5294117647058824,3,9,75,9.523809523809524,4,1,14,2,5,14,22,11,0,1866,-50.041666666666664,77.75,3067,35,4,17,0,28,victory
Platinum 3,Icebox,Viper,silver,2023,Qtr 2,April,7,3,760,5,6,10,9,22,13,0.692307692307692,2,4,0,1.2857142857142858,3,18,82,13.88888888888889,10,0,16,2,1,21,19,6,0,3554,48.04545454545455,161.54545454545453,2497,55,10,14,0,60,defeat
Platinum 3,Icebox,Viper,silver,2023,Qtr 2,April,24,3,328,1,4,2,9,22,13,0.692307692307692,5,6,0,0.8125,5,13,59,4.651162790697675,2,1,22,1,0,17,20,6,1,2436,-22.363636363636363,110.72727272727273,2928,36,2,16,1,43,defeat
Platinum 3,Icebox,Viper,silver,2024,Qtr 3,August,24,3,298,3,8,3,14,26,12,1.16666666666667,7,9,1,0.5789473684210527,0,11,65,8.88888888888889,3,1,12,0,3,22,24,11,0,2235,-49.57692307692308,85.96153846153847,3524,37,4,19,1,31,victory
Platinum 3,Icebox,Viper,silver,2024,Qtr 3,August,26,3,514,6,7,4,14,26,12,1.16666666666667,3,8,1,0.85,2,17,73,6.944444444444445,4,0,11,0,1,25,25,8,2,2849,-23.423076923076923,109.57692307692308,3458,57,5,20,0,37,victory
Platinum 3,Lotus,Breach,silver,2023,Qtr 2,April,22,3,657,4,1,5,6,19,13,0.461538461538462,1,2,0,1.4285714285714286,2,20,74,9.090909090909092,5,0,9,3,4,24,18,4,1,2903,21.42105263157895,152.78947368421052,2496,61,7,14,0,61,defeat
Platinum 3,Lotus,Brimstone,justsimple,2023,Qtr 1,March,2,3,732,2,1,8,13,19,6,2.16666666666667,1,4,1,1.6,2,16,68,14.754098360655737,8,4,5,3,3,7,38,4,0,3245,78.6842105263158,170.78947368421052,1750,51,9,10,0,83,victory
Platinum 3,Lotus,Deadlock,silver,2024,Qtr 3,August,26,3,519,3,5,6,10,23,13,0.769230769230769,2,5,0,1,2,16,70,10.606060606060606,6,0,13,3,2,39,16,4,1,3112,3.260869565217391,135.30434782608697,3037,46,7,16,0,55,defeat
Platinum 3,Lotus,Fade,justsimple,2023,Qtr 1,February,10,3,637,6,4,9,13,24,11,1.18181818181818,0,5,1,1.1176470588235294,2,19,75,16.216216216216218,9,1,27,2,2,12,30,12,0,3110,3.125,129.58333333333334,3035,49,12,17,0,50,victory
Platinum 3,Lotus,Fade,justsimple,2023,Qtr 4,December,21,3,393,0,4,5,9,22,13,0.692307692307692,1,6,0,0.7647058823529411,3,13,59,7.142857142857142,5,0,20,1,3,9,24,6,1,3155,-6.2727272727272725,143.4090909090909,3293,54,5,17,1,52,defeat
Platinum 3,Lotus,Gekko,silver,2024,Qtr 2,June,12,3,433,1,4,3,13,23,10,1.3,7,10,1,0.5454545454545454,2,6,74,12.5,3,0,11,0,2,17,27,5,2,1546,-17.434782608695652,67.21739130434783,1947,22,4,11,3,40,victory
Platinum 3,Lotus,Gekko,silver,2024,Qtr 2,June,14,3,1290,5,4,8,26,32,6,8.66666666666666,8,15,2,2.571428571428571,2,18,169,26.19047619047619,8,5,12,1,2,19,50,15,1,3257,15,203.5625,3017,55,10,14,1,99,victory
Platinum 3,Lotus,Killjoy,justsimple,2023,Qtr 1,February,28,3,660,2,4,5,13,21,8,1.625,0,6,1,0.9230769230769231,3,12,76,11.11111111111111,5,1,28,0,2,15,12,5,1,3017,14.476190476190476,143.66666666666666,2713,83,11,13,2,54,victory
Platinum 3,Lotus,Killjoy,justsimple,2023,Qtr 4,December,25,3,485,3,4,5,5,18,13,0.384615384615385,1,7,0,0.75,2,12,78,15.254237288135593,5,0,17,3,1,13,9,4,0,2313,-25.11111111111111,128.5,2765,45,9,16,0,52,defeat
Platinum 3,Lotus,Killjoy,pphead,2024,Qtr 3,August,24,3,745,3,6,10,10,23,13,0.769230769230769,5,2,0,0.9411764705882353,3,16,83,20.77922077922078,10,0,28,0,1,17,7,11,0,3821,38.82608695652174,166.1304347826087,2928,56,16,17,0,64,defeat
Platinum 3,Lotus,Killjoy,silver,2023,Qtr 2,May,1,3,511,2,3,4,13,20,7,1.85714285714286,6,8,1,1,1,13,65,6.172839506172839,4,0,27,2,2,15,13,6,1,2507,3.7,125.35,2433,55,5,13,1,51,victory
